Temperature (°C),Pressure (bar),CO2 Concentration (%),Flow Rate (m³/h),Sorbent Type,Surface Area (m²/g),Pore Size (nm),Stability (1-10),pH Level,CO2 Outlet Concentration (%),Energy Consumption (MJ/kg CO2),Cycle Time (min),Capture Efficiency (%),Regeneration Temp (°C),Solvent Concentration (%),Reactor Volume (m³),Residence Time (s),Reboiler Duty (kW),Column Height (m),CO2 Emitted (kg/hr),Energy Used Efficiently (MJ)
55.69,1.14,7.89,1814.24,MOF-5,3500.0,0.8,9,8.12,1.78,2.94,37.57,52.69,104.39,34.11,1.5,95.93,564.56,45.97,217.27,324.04
91.75,6.86,12.44,679.12,MOF-5,3500.0,0.8,9,6.61,3.11,2.31,41.52,90.76,128.26,13.54,1.04,156.91,4010.08,29.19,124.19,265.68
56.38,3.59,19.96,836.66,MEA,0.5,1.2,7,7.78,0.88,2.73,10.21,71.42,131.42,23.52,3.59,98.82,2527.16,47.71,312.88,218.08
115.4,6.94,13.55,926.8,MOF-5,3500.0,0.8,9,6.49,1.65,4.62,36.97,61.21,111.17,28.07,3.97,298.35,2660.63,8.45,216.17,122.53
64.64,1.6,10.16,434.61,Activated Carbon,1200.0,1.5,6,5.6,1.2,4.28,11.14,77.4,92.68,21.72,6.92,205.47,1523.12,13.34,76.32,78.41
34.11,7.95,11.29,777.98,Activated Carbon,1200.0,1.5,6,6.8,4.43,3.23,10.19,95.51,143.03,34.86,1.88,152.22,3342.96,40.92,104.6,229.34
108.53,4.64,14.97,1399.04,Activated Carbon,1200.0,1.5,6,7.7,3.79,5.03,8.23,54.44,112.33,18.8,3.02,63.71,4755.58,24.74,306.57,151.12
32.15,3.89,13.32,1189.68,Zeolite 13X,600.0,1.0,8,5.69,1.99,3.06,47.25,80.53,132.85,36.24,8.04,44.61,4589.01,45.81,264.19,312.07
111.41,5.0,7.66,1745.15,MOF-5,3500.0,0.8,9,5.29,2.94,4.73,11.01,59.47,127.0,10.68,1.0,261.24,1077.42,48.32,161.45,218.95
60.46,3.71,11.45,1459.96,MEA,0.5,1.2,7,8.44,1.02,3.0,53.47,52.5,139.6,23.71,8.21,231.14,4309.62,7.78,298.46,254.64
50.24,4.69,17.97,1046.85,Amine-Grafted Silica,900.0,1.1,8,6.25,4.03,4.08,26.96,55.59,125.6,19.79,4.32,110.74,3510.95,48.05,286.02,142.28
35.81,2.22,16.93,906.37,MEA,0.5,1.2,7,5.21,2.45,2.82,40.46,61.2,135.5,14.96,8.77,256.43,4996.74,20.94,257.24,196.01
30.81,5.72,6.21,441.87,MEA,0.5,1.2,7,6.0,2.67,2.98,27.45,76.97,124.08,26.79,6.07,188.92,2658.66,42.85,30.66,113.75
106.26,8.5,10.97,663.58,MOF-5,3500.0,0.8,9,5.33,1.54,3.49,56.76,65.29,138.01,34.13,6.59,253.88,4721.22,42.25,122.65,123.79
90.85,9.41,19.47,418.7,MOF-5,3500.0,0.8,9,8.55,4.29,3.48,27.83,87.26,132.03,11.37,7.32,20.71,1596.82,48.8,124.57,104.69
36.35,1.26,10.6,1847.62,Amine-Grafted Silica,900.0,1.1,8,7.23,4.96,2.45,41.56,79.58,101.18,27.48,0.55,249.46,4766.71,36.18,204.24,597.7
53.22,5.75,6.9,1556.35,Zeolite 13X,600.0,1.0,8,6.56,1.56,5.36,18.24,86.13,87.02,21.83,7.25,117.95,902.62,28.94,162.89,249.62
100.34,9.6,13.85,590.41,MEA,0.5,1.2,7,6.58,3.6,4.36,33.46,75.18,122.68,29.89,3.62,49.73,4712.36,14.08,118.61,101.57
39.73,3.79,19.96,386.66,Zeolite 13X,600.0,1.0,8,7.44,1.72,2.34,52.34,94.17,143.92,11.19,8.21,76.08,4984.92,47.09,138.23,154.94
90.64,8.32,9.37,167.44,Amine-Grafted Silica,900.0,1.1,8,8.04,0.57,5.74,36.34,79.98,114.62,32.79,5.41,193.85,1902.69,22.64,28.88,23.29
75.45,2.27,12.79,147.35,Zeolite 13X,600.0,1.0,8,6.22,3.83,3.04,16.03,77.54,122.02,14.6,2.72,139.95,4938.38,42.94,25.88,37.46
72.33,3.96,18.37,1842.48,MOF-5,3500.0,0.8,9,5.82,2.71,5.26,31.35,88.94,80.77,14.61,2.62,101.21,1686.41,22.28,565.52,310.95
111.5,5.11,5.74,1511.76,Activated Carbon,1200.0,1.5,6,5.23,4.76,5.62,34.0,96.72,88.39,36.68,1.65,226.7,4464.12,18.7,29.04,259.71
72.45,7.74,11.5,660.63,Zeolite 13X,600.0,1.0,8,5.06,3.54,5.55,18.3,81.63,113.41,22.79,6.76,137.14,3779.44,13.53,103.07,96.99
94.69,3.47,18.0,336.94,Activated Carbon,1200.0,1.5,6,6.4,1.42,4.95,37.12,92.87,89.1,39.44,6.87,82.19,4736.24,45.92,109.49,63.09
61.65,7.33,10.25,900.55,MOF-5,3500.0,0.8,9,8.74,0.92,4.93,48.89,73.61,126.59,26.36,5.8,52.02,1334.17,22.91,164.68,134.19
58.75,7.3,13.04,1514.56,Amine-Grafted Silica,900.0,1.1,8,5.59,0.83,5.48,38.77,84.23,100.77,18.57,4.64,195.53,506.41,49.21,362.46,232.37
67.6,1.65,12.1,942.27,Activated Carbon,1200.0,1.5,6,6.54,2.67,5.83,5.51,51.37,88.75,10.36,2.05,26.03,3375.92,7.87,174.16,82.88
57.86,2.24,15.49,142.13,Zeolite 13X,600.0,1.0,8,5.46,2.77,4.07,10.37,66.98,142.32,14.98,3.6,183.71,4222.51,30.73,35.43,23.33
57.44,8.05,17.53,1391.03,Amine-Grafted Silica,900.0,1.1,8,5.22,3.5,2.21,25.38,59.59,146.1,24.88,5.52,179.86,2975.51,18.63,382.52,373.39
103.06,6.81,10.95,1237.89,MEA,0.5,1.2,7,6.62,3.24,3.04,32.14,69.42,83.56,11.11,7.06,276.39,4336.18,35.32,187.06,281.75
106.31,6.07,11.76,756.12,Zeolite 13X,600.0,1.0,8,7.63,1.72,5.54,19.33,65.82,95.51,32.02,7.23,221.5,4151.21,27.66,148.79,89.67
43.21,4.49,19.32,1167.72,Amine-Grafted Silica,900.0,1.1,8,6.88,1.16,3.06,46.44,69.38,123.9,16.62,9.74,121.84,4680.21,23.64,415.63,263.9
115.26,2.4,11.44,511.66,Amine-Grafted Silica,900.0,1.1,8,8.84,0.77,4.49,37.81,78.29,93.76,13.97,2.97,229.01,3830.25,24.15,107.0,89.02
39.25,8.19,8.64,537.82,MOF-5,3500.0,0.8,9,7.7,3.15,5.05,7.77,60.1,106.23,37.74,6.04,298.37,3709.28,25.23,57.87,63.88
81.66,7.71,15.95,122.92,MEA,0.5,1.2,7,6.36,3.02,3.57,30.26,73.14,94.01,39.89,8.93,183.19,2062.77,14.77,31.15,25.11
61.36,4.75,6.42,1056.01,MEA,0.5,1.2,7,8.29,3.37,2.4,36.06,66.61,145.83,22.04,1.24,255.06,4395.23,14.85,63.13,291.87
34.63,4.9,18.21,1858.02,Activated Carbon,1200.0,1.5,6,6.77,4.49,4.78,21.2,72.98,135.73,32.29,4.97,106.61,4784.46,10.72,499.64,283.09
77.5,5.55,18.32,1670.63,Zeolite 13X,600.0,1.0,8,7.01,4.31,2.81,49.92,52.23,103.75,26.95,1.82,277.34,2122.95,36.36,458.75,309.42
112.31,5.29,14.08,1017.58,MOF-5,3500.0,0.8,9,6.83,1.13,5.76,58.49,85.82,142.52,30.35,7.32,63.46,643.34,35.45,258.28,151.35
68.17,9.07,10.24,815.4,MEA,0.5,1.2,7,5.05,4.47,5.99,18.09,58.37,115.24,39.45,7.7,298.9,3745.05,7.33,92.22,79.32
104.68,7.9,5.32,595.51,MEA,0.5,1.2,7,8.47,3.53,2.76,34.43,72.95,86.22,23.91,4.07,275.94,3803.95,14.17,20.89,156.83
67.25,2.22,9.42,657.99,Amine-Grafted Silica,900.0,1.1,8,6.38,1.1,5.97,42.78,90.3,110.89,10.94,0.55,155.31,3992.75,40.35,107.3,99.36
70.2,6.54,5.66,701.95,Amine-Grafted Silica,900.0,1.1,8,5.45,2.99,3.08,22.29,51.02,106.86,22.41,7.08,25.28,2490.36,33.66,36.73,115.9
33.88,6.29,9.26,1909.69,Activated Carbon,1200.0,1.5,6,8.78,2.31,3.6,55.16,68.74,95.21,36.74,7.27,271.04,871.49,47.53,260.14,363.63
30.59,5.54,9.15,565.83,Zeolite 13X,600.0,1.0,8,8.38,3.36,3.34,13.49,71.56,120.91,12.64,0.6,69.61,3763.76,33.45,64.21,120.87
57.3,1.93,12.36,1596.25,Amine-Grafted Silica,900.0,1.1,8,7.14,0.58,4.92,55.68,60.82,91.29,12.9,7.47,80.22,2142.17,35.38,368.55,196.92
65.73,9.22,9.69,1377.41,MEA,0.5,1.2,7,8.36,0.86,2.81,31.83,56.34,138.67,11.97,6.28,87.26,3557.32,11.59,238.39,275.19
95.21,8.46,9.14,426.97,MEA,0.5,1.2,7,5.56,0.72,4.7,9.35,51.36,90.52,18.06,2.07,125.54,1728.25,38.82,70.46,46.56
114.96,4.21,14.72,1296.58,MOF-5,3500.0,0.8,9,6.89,4.55,5.64,20.51,87.7,118.49,36.73,4.18,256.54,4077.76,8.96,258.45,201.26
116.19,8.33,14.82,320.92,Zeolite 13X,600.0,1.0,8,6.75,4.93,5.37,33.55,87.73,84.46,25.4,1.56,61.83,1629.23,33.84,62.21,52.33
48.39,9.82,9.94,847.33,MOF-5,3500.0,0.8,9,5.6,2.75,4.67,26.6,58.59,134.55,39.85,7.24,291.68,3951.84,12.0,119.41,106.08
73.28,8.06,14.48,418.68,MEA,0.5,1.2,7,6.61,1.28,4.39,12.84,93.75,102.12,35.92,6.01,102.43,1533.66,44.02,108.32,89.21
104.46,7.92,13.21,1693.35,Amine-Grafted Silica,900.0,1.1,8,6.35,3.65,4.9,32.28,97.04,88.48,18.67,9.8,117.35,3474.72,49.62,317.29,334.67
83.83,7.55,9.32,1033.6,MOF-5,3500.0,0.8,9,8.22,3.42,3.87,22.02,88.51,108.66,33.55,1.06,284.43,1283.13,20.62,119.53,235.78
118.72,1.35,18.71,558.73,Activated Carbon,1200.0,1.5,6,6.41,4.9,4.14,27.65,54.8,110.58,10.68,3.8,209.47,3894.57,32.98,151.23,73.78
37.01,8.56,17.47,790.55,MOF-5,3500.0,0.8,9,7.54,1.15,4.17,17.09,53.92,124.55,31.41,2.93,290.68,506.82,25.69,252.87,101.98
96.63,2.38,6.58,251.18,Amine-Grafted Silica,900.0,1.1,8,6.44,2.68,5.46,39.12,81.59,148.67,29.13,4.25,289.36,948.67,49.33,19.2,37.47
32.18,9.93,9.75,712.06,Zeolite 13X,600.0,1.0,8,6.21,0.56,3.12,7.77,61.71,93.99,33.74,6.64,99.49,3469.16,23.29,128.26,140.39
61.28,6.3,16.0,117.51,MEA,0.5,1.2,7,5.97,2.73,2.42,23.94,80.96,130.6,12.85,2.6,166.68,743.94,41.92,30.56,39.15
81.49,2.66,10.92,800.64,Zeolite 13X,600.0,1.0,8,5.8,4.07,2.29,10.99,92.74,106.46,18.37,0.56,54.72,3771.66,8.37,107.49,322.83
55.16,4.25,5.79,931.15,MEA,0.5,1.2,7,5.41,2.85,5.33,56.63,68.22,123.19,29.75,1.41,129.69,3589.64,21.68,53.66,118.96
112.72,3.82,18.03,1155.75,MOF-5,3500.0,0.8,9,5.55,3.21,5.41,42.03,93.89,110.97,24.09,5.74,75.38,3269.37,10.09,335.71,200.21
112.95,6.75,17.54,1295.25,Zeolite 13X,600.0,1.0,8,5.74,1.23,2.47,10.61,78.47,149.03,16.28,2.74,147.05,2960.64,49.82,414.06,409.83
69.57,3.01,6.85,408.29,Amine-Grafted Silica,900.0,1.1,8,6.51,0.51,2.32,36.73,86.01,123.61,35.35,3.02,280.4,4445.31,28.89,50.74,150.72
117.51,5.53,14.94,128.43,Amine-Grafted Silica,900.0,1.1,8,8.21,1.55,5.6,58.24,68.58,108.57,29.49,5.81,48.53,2360.54,42.39,33.71,15.7
44.88,8.7,11.07,1093.59,Zeolite 13X,600.0,1.0,8,5.51,1.99,3.47,44.37,89.05,146.89,39.75,3.64,35.46,3492.68,45.41,194.62,279.84
108.2,9.81,14.33,1233.76,Activated Carbon,1200.0,1.5,6,6.23,1.98,2.27,9.84,95.04,107.56,21.02,1.95,83.71,990.97,9.49,298.64,514.28
42.95,3.3,18.46,547.07,Zeolite 13X,600.0,1.0,8,6.34,4.65,4.61,10.2,61.41,101.09,13.4,2.44,76.02,1736.61,33.36,148.08,72.72
100.84,2.53,14.0,876.53,Zeolite 13X,600.0,1.0,8,7.91,3.7,5.2,23.72,64.7,127.53,30.37,1.6,225.48,4089.0,33.49,176.95,108.85
66.72,9.52,16.16,682.94,MEA,0.5,1.2,7,7.11,2.16,4.4,40.95,98.32,84.34,21.02,6.15,194.81,513.71,47.53,187.4,152.26
91.9,9.99,10.6,1236.4,Zeolite 13X,600.0,1.0,8,6.76,4.84,2.76,57.37,74.16,82.25,30.18,8.4,286.0,1428.81,20.98,139.58,331.02
86.71,6.85,12.82,928.48,Activated Carbon,1200.0,1.5,6,5.47,0.72,4.87,59.35,57.72,119.41,37.83,4.87,291.49,4203.21,43.5,220.2,109.82
42.36,7.29,18.01,1274.49,MEA,0.5,1.2,7,5.79,1.21,2.17,34.07,64.17,99.39,32.19,9.42,240.98,561.93,30.34,419.66,375.16
109.17,8.8,8.36,1443.56,Amine-Grafted Silica,900.0,1.1,8,8.73,1.77,4.96,36.26,84.24,136.69,12.42,3.98,109.27,1041.24,19.05,186.46,244.68
66.16,9.01,14.96,1854.4,MEA,0.5,1.2,7,6.72,1.76,5.65,8.05,73.5,132.68,35.53,6.7,175.05,2532.84,23.84,479.77,240.81
109.88,4.35,8.43,1158.65,Amine-Grafted Silica,900.0,1.1,8,7.7,3.14,4.75,31.37,54.73,88.11,12.0,8.86,217.55,4067.56,6.69,120.13,133.22
60.36,8.46,9.59,475.84,MOF-5,3500.0,0.8,9,8.38,1.39,2.39,47.66,67.37,98.44,22.43,2.53,248.25,1184.39,28.52,76.48,133.57
42.54,7.47,6.66,355.71,Zeolite 13X,600.0,1.0,8,8.84,4.99,2.1,17.67,71.91,111.42,16.59,1.38,298.28,2851.67,24.11,11.64,121.23
96.95,5.72,7.53,1749.71,MOF-5,3500.0,0.8,9,6.58,2.75,5.82,31.35,88.46,115.48,15.98,7.91,204.59,4468.03,31.23,163.93,265.49
54.29,1.73,8.05,1530.3,MEA,0.5,1.2,7,6.7,0.99,5.6,53.04,87.23,112.79,16.19,1.75,290.26,3569.51,22.64,211.76,237.95
46.48,5.99,14.14,274.87,Zeolite 13X,600.0,1.0,8,6.24,3.71,3.75,44.14,74.54,129.43,36.02,6.31,203.28,638.01,32.11,56.19,54.49
32.68,5.81,6.73,610.13,MEA,0.5,1.2,7,5.46,1.12,3.6,13.92,83.03,110.13,20.45,6.18,37.62,3699.68,28.34,67.09,140.33
